recipe_id,section,item,ingredient,quantity,price,quantities,raw_ingredients
1,Baking,"Tesco Plain Flour 1.5Kg, £0.80 each",3 tbsp plain flour,1,£0.80,3 tbsp,plain flour
1,Baking,"Trade Aid Uk Pure Cane Caster Sugar 1Kg, £2.00 each",2 tsp caster sugar,1,£2.00,2 tsp,caster sugar
4,Baking,"Tesco Plain Flour 1.5Kg, £0.80 each",35.2g plain flour,1,£0.80,35.2g,plain flour
4,Baking,"Tesco Cornflour 500G, £1.75 each",25g cornflour,1,£1.75,25g,cornflour
10,Baking,"Tesco Plain Flour 1.5Kg, £0.80 each",25g plain flour,1,£0.80,25g,plain flour
22,Baking,"Tesco Plain Flour 1.5Kg, £0.80 each",4 tbsp plain flour,1,£0.80,4 tbsp,plain flour
23,Baking,"Tesco Cornflour 500G, £1.75 each",1 tbsp cornflour,1,£1.75,1 tbsp,cornflour
24,Baking,"Tesco Plain Flour 1.5Kg, £0.80 each",50g plain flour,1,£0.80,50g,plain flour
26,Baking,"Tesco Cornflour 500G, £1.75 each",20g cornflour,1,£1.75,20g,cornflour
29,Baking,"Trade Aid Uk Pure Cane Caster Sugar 1Kg, £2.00 each",1 tbsp caster sugar,1,£2.00,1 tbsp,caster sugar
30,Baking,"Doves Farm Gluten Free Plain Flour 1Kg, £1.70 each",75g brown rice flour,1,£1.70,75g,brown rice flour
30,Baking,"Trade Aid Uk Pure Cane Caster Sugar 1Kg, £2.00 each",2 tbsp caster sugar,1,£2.00,2 tbsp,caster sugar
31,Baking,"Trade Aid Uk Pure Cane Caster Sugar 1Kg, £2.00 each",0.5 tsp caster sugar,1,£2.00,0.5 tsp,caster sugar
33,Baking,"Tesco Self Raising Flour 1.5Kg, £0.80 each",400g self-raising flour,1,£0.80,400g,self-raising flour
39,Baking,"Tesco Toasted Flaked Almonds 100G, £1.60 each",1 tbsp toasted flaked almonds,1,£1.60,1 tbsp,toasted flaked almonds
42,Baking,"Paxo Natural Breadcrumbs 227G, £1.55 each",50g fresh breadcrumbs,1,£1.55,50g,fresh breadcrumbs
43,Baking,"Tesco Toasted Flaked Almonds 100G, £1.60 each",2 tsp flaked almonds,1,£1.60,2 tsp,flaked almonds
44,Baking,"Tesco Plain Flour 1.5Kg, £0.80 each",3 tbsp plain flour,1,£0.80,3 tbsp,plain flour
50,Baking,"Tesco Plain Flour 1.5Kg, £0.80 each",1 tbsp plain flour,1,£0.80,1 tbsp,plain flour
50,Baking,"Trade Aid Uk Pure Cane Caster Sugar 1Kg, £2.00 each",2 tbsp caster sugar,1,£2.00,2 tbsp,caster sugar
53,Baking,"Tesco Self Raising Flour 1.5Kg, £0.80 each",300g self-raising flour,1,£0.80,300g,self-raising flour
54,Baking,"Tesco Self Raising Flour 1.5Kg, £0.80 each",150g self-raising flour,1,£0.80,150g,self-raising flour
59,Baking,"Tesco Plain Flour 1.5Kg, £0.80 each",1 tbsp plain flour,1,£0.80,1 tbsp,plain flour
66,Baking,"Tesco Plain Flour 1.5Kg, £0.80 each",30g plain flour,1,£0.80,30g,plain flour
66,Baking,"Trade Aid Uk Pure Cane Caster Sugar 1Kg, £2.00 each",1 tbsp caster sugar,1,£2.00,1 tbsp,caster sugar
